,ID,Street,Number,Address,Latitude,Longitude,LocationID,Description,Category,ServiceTime,Profit
26,PE-FWI-2-6919,Georg-Nerlich-Straße,9,"Georg-Nerlich-Straße, 9, Dresden",51.0473579,13.7601092,26,Zuluftschacht,2,1140,2
27,PE-FWI-1-6181,Lise-Meitner-Straße,14,"Lise-Meitner-Straße, 14, Dresden",51.0531943,13.6662148,27,Brücke,1,1680,3
28,PE-FWI-1-3289,Cämmerswalder Straße,9,"Cämmerswalder Straße, 9, Dresden",51.0202727,13.7182484,28,Bauwerk,1,900,3
29,PE-FWI-4-147,Altenberger Straße,53,"Altenberger Straße, 53, Dresden",51.03596325,13.8075202315,29,Erdarmatur,4,720,3
30,PE-FWI-1-1655,Erlenstraße,20,"Erlenstraße, 20, Dresden",51.0737908,13.7458474,30,Stütze,1,720,3
31,PE-FWI-3-6208,Wiener Platz,7,"Wiener Platz, 7, Dresden",51.0414161,13.7324191,31,Belüftung,3,660,1
32,PE-FWI-1-5786,Altstrehlen,8,"Altstrehlen, 8, Dresden",51.0268762,13.7619986,32,Brunnen,1,1020,3
33,PE-FWI-3-4789,Saxoniastraße,14,"Saxoniastraße, 14, Dresden",51.0429352,13.7070597,33,Entlüftung,3,780,1
34,PE-FWI-4-5369,Grenzstraße,4,"Grenzstraße, 4, Dresden",51.0888251,13.6312245579,34,Erdarmatur,4,780,3
35,PE-FWI-2-4202,Hermann-Reichelt-Straße,8,"Hermann-Reichelt-Straße, 8, Dresden",51.1210876,13.7514524,35,Kontrollschacht,2,600,2
36,PE-FWI-4-8811,Georg-Nerlich-Straße,2,"Georg-Nerlich-Straße, 2, Dresden",51.0466937,13.7602635,36,Erdarmatur,4,720,3
37,PE-FWI-1-3889,Nicolaistraße,22,"Nicolaistraße, 22, Dresden",51.046406,13.7699161,37,Armatur,1,840,3
38,PE-FWI-2-4073,Dörnichtweg,4,"Dörnichtweg, 4, Dresden",51.11409005,13.7660808378,38,Zuluftschacht,2,1020,2
39,PE-FWI-4-2610,Kleinzschachwitzer Straße,18,"Kleinzschachwitzer Straße, 18, Dresden",51.0074165,13.8414156,39,Erdarmatur,4,840,3
40,PE-FWI-3-3204,Brockhausstraße,2,"Brockhausstraße, 2, Dresden",51.0659399,13.7893745,40,Abzweigung,3,600,1
41,PE-FWI-3-3591,Micktner Straße,14,"Micktner Straße, 14, Dresden",51.081611,13.709316,41,Abzweigung,3,660,1
42,PE-FWI-4-850,Marschnerstraße,31,"Marschnerstraße, 31, Dresden",51.04857525,13.7578596019,42,Erdarmatur,4,780,3
43,PE-FWI-2-5144,Weißeritzstraße,15,"Weißeritzstraße, 15, Dresden",51.0595984,13.7269962,43,Kontrollschacht,2,600,2
44,PE-FWI-2-9813,Palmstraße,7,"Palmstraße, 7, Dresden",51.0507815,13.724789,44,Kontrollschacht,2,780,2
45,PE-FWI-2-4329,Oskar-Röder-Straße,9,"Oskar-Röder-Straße, 9, Dresden",51.0213813,13.7910796,45,KontrollBauwerk,2,900,2
46,PE-FWI-2-2359,Robert-Blum-Straße,8,"Robert-Blum-Straße, 8, Dresden",51.0628035,13.7377477,46,Zuluftschacht,2,960,2
47,PE-FWI-2-6066,Südhöhe,16,"Südhöhe, 16, Dresden",51.0202674,13.7450424787,47,Zuluftschacht,2,960,2
48,PE-FWI-3-2270,Keglerstraße,2,"Keglerstraße, 2, Dresden",51.0401341,13.7877578,48,Belüftung,3,600,1
49,PE-FWI-4-1988,Geinitzstraße,5,"Geinitzstraße, 5, Dresden",51.03173695,13.74662705,49,Erdarmatur,4,660,3
50,PE-FWI-2-5862,Calvinstraße,13,"Calvinstraße, 13, Dresden",51.0343382,13.7875939,50,Zuluftschacht,2,1140,2
51,PE-FWI-4-304,Wiener Straße,29,"Wiener Straße, 29, Dresden",51.0394062,13.738656,51,Erdarmatur,4,660,3
52,PE-FWI-4-9470,Leipziger Straße,45,"Leipziger Straße, 45, Dresden",51.07144475,13.7271047721,52,Erdarmatur,4,780,3
53,PE-FWI-4-2069,Grunaer Straße,25,"Grunaer Straße, 25, Dresden",51.0480735,13.7501448,53,Erdarmatur,4,780,3
54,PE-FWI-3-8800,Käthe-Kollwitz-Ufer,9,"Käthe-Kollwitz-Ufer, 9, Dresden",51.0569854,13.759522,54,Belüftung,3,780,1
55,PE-FWI-4-5395,Gottleubaer Straße,1,"Gottleubaer Straße, 1, Dresden",51.0396725,13.7986569,55,Erdarmatur,4,780,3
56,PE-FWI-4-6994,Alexander-Puschkin-Platz,8,"Alexander-Puschkin-Platz, 8, Dresden",51.0702407,13.7290756,56,Erdarmatur,4,840,3
57,PE-FWI-4-1358,Marienstraße,3,"Marienstraße, 3, Dresden",51.0501662,13.7327067,57,Erdarmatur,4,720,3
58,PE-FWI-2-9182,Gröbelstraße,8,"Gröbelstraße, 8, Dresden",51.0437557,13.7023255,58,Zuluftschacht,2,1200,2
59,PE-FWI-4-7372,St. Petersburger Straße,3,"St. Petersburger Straße, 3, Dresden",51.0503653,13.747391,59,Erdarmatur,4,600,3
60,PE-FWI-4-5040,Otto-Dix-Ring,5,"Otto-Dix-Ring, 5, Dresden",51.02092095,13.77459195,60,Erdarmatur,4,780,3
61,PE-FWI-2-5279,Löwenstraße,7,"Löwenstraße, 7, Dresden",51.0622968,13.7572075639,61,Kontrollschacht,2,660,2
62,PE-FWI-2-8398,Wiener Straße,28,"Wiener Straße, 28, Dresden",51.0394062,13.738656,51,Zuluftschacht,2,1080,2
63,PE-FWI-3-9340,Bayrische Straße,9,"Bayrische Straße, 9, Dresden",51.0389655,13.733415,62,Entlüftung,3,660,1
64,PE-FWI-4-5692,Weißbachstraße,2,"Weißbachstraße, 2, Dresden",51.0270394,13.7290495,63,Erdarmatur,4,900,3
65,PE-FWI-4-7033,Gamigstraße,23,"Gamigstraße, 23, Dresden",51.0090044,13.7992918,64,Erdarmatur,4,900,3
66,PE-FWI-1-7639,Bauhofstraße,8,"Bauhofstraße, 8, Dresden",51.0501563,13.7191792,65,Brunnen,1,1200,3
67,PE-FWI-4-4328,Gabelsbergerstraße,3,"Gabelsbergerstraße, 3, Dresden",51.0498352,13.7740102,66,Erdarmatur,4,660,3
68,PE-FWI-4-836,Heinrich-Beck-Straße,8,"Heinrich-Beck-Straße, 8, Dresden",51.0592388,13.768214,67,Erdarmatur,4,780,3
69,PE-FWI-4-1470,Kohlenstraße,3,"Kohlenstraße, 3, Dresden",51.002749,13.6859527,68,Erdarmatur,4,900,3
70,PE-FWI-2-5391,Rostocker Straße,5,"Rostocker Straße, 5, Dresden",51.1167996,13.7828051179,69,KontrollBauwerk,2,840,2
71,PE-FWI-4-1056,Georg-Treu-Platz,3,"Georg-Treu-Platz, 3, Dresden",51.0522024,13.7429693,70,Erdarmatur,4,660,3
72,PE-FWI-4-2864,Merseburger Straße,5,"Merseburger Straße, 5, Dresden",51.0466719,13.7827115,71,Erdarmatur,4,660,3
73,PE-FWI-3-5668,Wigardstraße,14,"Wigardstraße, 14, Dresden",51.0575392,13.7485477,72,Entlüftung,3,780,1
74,PE-FWI-4-1199,Gartenheimsteg,9,"Gartenheimsteg, 9, Dresden",51.0346342,13.7912741,73,Erdarmatur,4,660,3
75,PE-FWI-3-3016,Schießgasse,3,"Schießgasse, 3, Dresden",51.0513401,13.7446979,74,Entlüftung,3,660,1
76,PE-FWI-4-6133,Hohenthalplatz,7,"Hohenthalplatz, 7, Dresden",51.05901055,13.7138752149,75,Erdarmatur,4,900,3
77,PE-FWI-4-7839,Tizianstraße,4,"Tizianstraße, 4, Dresden",51.0277934,13.748841,76,Erdarmatur,4,780,3
78,PE-FWI-3-9195,Seidnitzer Straße,4,"Seidnitzer Straße, 4, Dresden",51.0485916,13.7504274,77,Abzweigung,3,900,1
79,PE-FWI-2-6777,Cottbuser Straße,23,"Cottbuser Straße, 23, Dresden",51.0893247,13.7147993,78,Kontrollschacht,2,900,2
80,PE-FWI-3-7258,Niederseidewitzer Weg,15,"Niederseidewitzer Weg, 15, Dresden",51.0108966,13.8139976,79,Belüftung,3,780,1
81,PE-FWI-2-6340,Wilsdruffer Ring,29,"Wilsdruffer Ring, 29, Dresden",51.0408809,13.6654249,80,Zuluftschacht,2,900,2
82,PE-FWI-2-2704,Baluschekstraße,7,"Baluschekstraße, 7, Dresden",51.04566955,13.7035017514,81,KontrollBauwerk,2,900,2
83,PE-FWI-3-8660,Archivstraße,19,"Archivstraße, 19, Dresden",51.0572237,13.749541,82,Abzweigung,3,840,1
84,PE-FWI-2-6926,Provianthofstraße,2,"Provianthofstraße, 2, Dresden",51.0822891,13.7599856,83,Zuluftschacht,2,1140,2
85,PE-FWI-4-5115,Neubertstraße,13,"Neubertstraße, 13, Dresden",51.0573777,13.7739562141,84,Erdarmatur,4,660,3
86,PE-FWI-3-1071,Bauhofstraße,9,"Bauhofstraße, 9, Dresden",51.0501563,13.7191792,65,Abzweigung,3,840,1
87,PE-FWI-2-9728,Großenhainer Straße,28,"Großenhainer Straße, 28, Dresden",51.0724141,13.7364776,85,Kontrollschacht,2,660,2
88,PE-FWI-4-7153,Obergraben,12,"Obergraben, 12, Dresden",51.0598573,13.7420444,86,Erdarmatur,4,600,3
89,PE-FWI-2-2201,Abbestraße,4,"Abbestraße, 4, Dresden",51.0927339,13.70719,87,Kontrollschacht,2,780,2
90,PE-FWI-4-1246,Sonnenblumenweg,11,"Sonnenblumenweg, 11, Dresden",51.077746,13.7387676,88,Erdarmatur,4,780,3
91,PE-FWI-3-6268,Oschatzer Straße,26,"Oschatzer Straße, 26, Dresden",51.07651545,13.7249125082,89,Abzweigung,3,780,1
92,PE-FWI-3-7948,Bremer Straße,25,"Bremer Straße, 25, Dresden",51.0613335,13.7062130725,90,Entlüftung,3,840,1
93,PE-FWI-3-1370,Niederseidewitzer Weg,33,"Niederseidewitzer Weg, 33, Dresden",51.0108966,13.8139976,79,Belüftung,3,600,1
94,PE-FWI-4-735,Institutsgasse,9,"Institutsgasse, 9, Dresden",51.0563193,13.7155948,91,Erdarmatur,4,840,3
95,PE-FWI-2-6871,Birkwitzer Weg,13,"Birkwitzer Weg, 13, Dresden",51.0120415,13.8188896,92,Zuluftschacht,2,1140,2
96,PE-FWI-2-2927,An der Schleife,3,"An der Schleife, 3, Dresden",51.0902244,13.7698321,93,Zuluftschacht,2,900,2
97,PE-FWI-2-7666,Julius-Otto-Straße,6,"Julius-Otto-Straße, 6, Dresden",51.0306166,13.7588635026,94,KontrollBauwerk,2,600,2
98,PE-FWI-2-285,Palmstraße,9,"Palmstraße, 9, Dresden",51.0507815,13.724789,44,KontrollBauwerk,2,600,2
99,PE-FWI-4-8630,Kamillenweg,5,"Kamillenweg, 5, Dresden",51.04724655,13.6570930241,95,Erdarmatur,4,600,3
100,PE-FWI-4-6419,Lommatzscher Straße,51,"Lommatzscher Straße, 51, Dresden",51.0813945,13.7102063,96,Erdarmatur,4,780,3
101,PE-FWI-4-4188,Hülßestraße,12,"Hülßestraße, 12, Dresden",51.0130881,13.7902261,97,Erdarmatur,4,720,3
102,PE-FWI-1-7228,An der Herzogin Garten,15,"An der Herzogin Garten, 15, Dresden",51.0549608,13.7299017,98,Stütze,1,720,3
103,PE-FWI-1-1776,Hebbelstraße,6,"Hebbelstraße, 6, Dresden",51.0563743,13.6864351,99,Bauwerk,1,900,3
104,PE-FWI-4-4708,Hassestraße,8,"Hassestraße, 8, Dresden",51.05158255,13.7800332437,100,Erdarmatur,4,720,3
105,PE-FWI-2-8065,Bahnhofstraße,52,"Bahnhofstraße, 52, Dresden",51.0014195,13.8398951,101,KontrollBauwerk,2,720,2
106,PE-FWI-2-4488,Reißigerstraße,17,"Reißigerstraße, 17, Dresden",51.0448194,13.7672239,102,Zuluftschacht,2,900,2
107,PE-FWI-3-3214,Hartmut-Dost-Straße,4,"Hartmut-Dost-Straße, 4, Dresden",51.0797566,13.75234435,103,Abzweigung,3,720,1
108,PE-FWI-2-7687,Wilsdruffer Straße,7,"Wilsdruffer Straße, 7, Dresden",51.0494309,13.7427525,104,Zuluftschacht,2,1140,2
109,PE-FWI-4-903,Manitiusstraße,3,"Manitiusstraße, 3, Dresden",51.05713685,13.71542435,105,Erdarmatur,4,660,3
110,PE-FWI-3-7227,Reißigerstraße,5,"Reißigerstraße, 5, Dresden",51.0438601,13.7662397,106,Entlüftung,3,660,1
111,PE-FWI-2-9618,Melitta-Bentz-Str.,8,"Melitta-Bentz-Str., 8, Dresden",51.0858427,13.7657646,107,KontrollBauwerk,2,600,2
112,PE-FWI-3-491,Grenzstraße,27,"Grenzstraße, 27, Dresden",51.1259943,13.7891152,108,Entlüftung,3,780,1
113,PE-FWI-4-9702,Reißigerstraße,2,"Reißigerstraße, 2, Dresden",51.043304,13.7666345,109,Erdarmatur,4,600,3
114,PE-FWI-4-1624,Leisniger Straße,54,"Leisniger Straße, 54, Dresden",51.08101925,13.7239466824,110,Erdarmatur,4,780,3
115,PE-FWI-2-9591,Finsterwalde Straße,37,"Finsterwalde Straße, 37, Dresden",51.0040753246,13.8029294805,111,Kontrollschacht,2,660,2
116,PE-FWI-2-4580,Geblerstraße,1,"Geblerstraße, 1, Dresden",51.0907613,13.7023218,112,KontrollBauwerk,2,600,2
117,PE-FWI-2-9428,Institutsgasse,3,"Institutsgasse, 3, Dresden",51.0567646,13.7161908935,113,Kontrollschacht,2,900,2
118,PE-FWI-4-8978,Boxdorfer Straße,2,"Boxdorfer Straße, 2, Dresden",51.0870623,13.7157938,114,Erdarmatur,4,840,3
119,PE-FWI-2-8798,Güterbahnhofstraße,6,"Güterbahnhofstraße, 6, Dresden",51.0471646,13.7233984,115,KontrollBauwerk,2,720,2
120,PE-FWI-2-9933,Biedermannstraße,7,"Biedermannstraße, 7, Dresden",51.0351939,13.7075886,116,Kontrollschacht,2,780,2
121,PE-FWI-2-8126,Salzgasse,7,"Salzgasse, 7, Dresden",51.0520665,13.7434494,117,Kontrollschacht,2,900,2
122,PE-FWI-4-2749,Uferstraße,8,"Uferstraße, 8, Dresden",51.0632522,13.7347782159,118,Erdarmatur,4,720,3
123,PE-FWI-3-6484,Hermsdorfer Straße,1,"Hermsdorfer Straße, 1, Dresden",51.0459128,13.697089342,119,Belüftung,3,720,1
124,PE-FWI-4-8256,Conrad-Felixmüller-Straße,6,"Conrad-Felixmüller-Straße, 6, Dresden",51.0173165,13.776845999999999,120,Erdarmatur,4,600,3
125,PE-FWI-4-3953,Dammweg,5,"Dammweg, 5, Dresden",51.06916855,13.746557450000001,121,Erdarmatur,4,720,3
126,PE-FWI-4-5183,Friedebacher Straße,2,"Friedebacher Straße, 2, Dresden",51.0178481,13.7216818,122,Erdarmatur,4,840,3
127,PE-FWI-4-1659,Haydnstraße,22,"Haydnstraße, 22, Dresden",51.0471945,13.7745776,123,Erdarmatur,4,900,3
128,PE-FWI-4-8715,Hochschulstr.,1,"Hochschulstr., 1, Dresden",51.0358085,13.733339,124,Erdarmatur,4,720,3
129,PE-FWI-2-930,Sternstraße,6,"Sternstraße, 6, Dresden",51.07935535,13.7113171709,125,Zuluftschacht,2,900,2
130,PE-FWI-4-844,Gluckstraße,3,"Gluckstraße, 3, Dresden",51.0510391,13.7774763,126,Erdarmatur,4,840,3
131,PE-FWI-2-4972,Freiberger Platz,4,"Freiberger Platz, 4, Dresden",51.0500434,13.7253758,127,Zuluftschacht,2,960,2
132,PE-FWI-4-2943,Besselplatz,3,"Besselplatz, 3, Dresden",51.0134442,13.7873911,128,Erdarmatur,4,900,3
133,PE-FWI-4-8393,Jessener Straße,19,"Jessener Straße, 19, Dresden",51.0120077,13.8145298,129,Erdarmatur,4,720,3
134,PE-FWI-2-1720,Försterlingstraße,7,"Försterlingstraße, 7, Dresden",51.0048828,13.836837,130,Kontrollschacht,2,600,2
135,PE-FWI-2-6205,Suttnerstraße,9,"Suttnerstraße, 9, Dresden",51.021707,13.8128022,131,Kontrollschacht,2,660,2
136,PE-FWI-4-5348,Oschatzer Straße,7,"Oschatzer Straße, 7, Dresden",51.075329,13.7233256,132,Erdarmatur,4,660,3
137,PE-FWI-4-357,Tatzberg,40,"Tatzberg, 40, Dresden",51.0558768,13.7733025,133,Erdarmatur,4,780,3
138,PE-FWI-4-1411,Markusstraße,9,"Markusstraße, 9, Dresden",51.0795878,13.7218844976,134,Erdarmatur,4,840,3
139,PE-FWI-4-2791,George-Bähr-Straße,10,"George-Bähr-Straße, 10, Dresden",51.0300403,13.7260868,135,Erdarmatur,4,720,3
140,PE-FWI-4-5934,Anton-Graff-Straße,7,"Anton-Graff-Straße, 7, Dresden",51.0440715,13.7715169,136,Erdarmatur,4,600,3
141,PE-FWI-2-9294,Gohliser Straße,16,"Gohliser Straße, 16, Dresden",51.04582065,13.6963752434,137,KontrollBauwerk,2,780,2
142,PE-FWI-4-9900,Altenberger Straße,60,"Altenberger Straße, 60, Dresden",51.0336308,13.8078786,138,Erdarmatur,4,840,3
143,PE-FWI-2-6013,Auguste-Lazar-Straße,2,"Auguste-Lazar-Straße, 2, Dresden",51.0200704,13.733846400000001,139,KontrollBauwerk,2,780,2
144,PE-FWI-4-7569,Lassallestraße,5,"Lassallestraße, 5, Dresden",51.0192768,13.8110434489,140,Erdarmatur,4,900,3
145,PE-FWI-3-3208,Spitzwegstraße,32,"Spitzwegstraße, 32, Dresden",51.0149514,13.7567695,141,Belüftung,3,840,1
146,PE-FWI-2-2141,Fischhausstraße,9,"Fischhausstraße, 9, Dresden",51.0686787,13.7863437,142,Zuluftschacht,2,1140,2
147,PE-FWI-4-1213,Terrassenufer,19,"Terrassenufer, 19, Dresden",51.0541338,13.7521465,143,Erdarmatur,4,720,3
148,PE-FWI-4-6585,Weißeritzstraße,16,"Weißeritzstraße, 16, Dresden",51.0595984,13.7269962,43,Erdarmatur,4,840,3
149,PE-FWI-3-4121,Lingnerallee,4,"Lingnerallee, 4, Dresden",51.0472439,13.7442002,22,Entlüftung,3,780,1
150,PE-FWI-2-4250,Am Anger,22,"Am Anger, 22, Dresden",51.0075256,13.792643398100001,144,Zuluftschacht,2,1140,2
151,PE-FWI-4-1402,Altdobritz,1,"Altdobritz, 1, Dresden",51.0189765,13.8113032,145,Erdarmatur,4,720,3
152,PE-FWI-3-4956,Toni-Sender-Straße,11,"Toni-Sender-Straße, 11, Dresden",51.0828275,13.7524068,146,Entlüftung,3,720,1
153,PE-FWI-2-8668,Grumbacher Straße,6,"Grumbacher Straße, 6, Dresden",51.0466311,13.6944303,147,KontrollBauwerk,2,900,2
154,PE-FWI-4-902,Espenstraße,4,"Espenstraße, 4, Dresden",51.044503,13.6645494,148,Erdarmatur,4,780,3
155,PE-FWI-3-2348,Gubener Straße,35,"Gubener Straße, 35, Dresden",51.0082293,13.795448,149,Entlüftung,3,660,1
156,PE-FWI-3-1761,Hamburger Straße,25,"Hamburger Straße, 25, Dresden",51.058994,13.7010184026,150,Belüftung,3,660,1
157,PE-FWI-4-6373,Terrassenufer,18,"Terrassenufer, 18, Dresden",51.0540657,13.7519072,151,Erdarmatur,4,840,3
158,PE-FWI-4-2369,Zur Steinhöhe,2,"Zur Steinhöhe, 2, Dresden",51.1337939,13.7788677,152,Erdarmatur,4,900,3
159,PE-FWI-2-2310,Conradstraße,3,"Conradstraße, 3, Dresden",51.0716532,13.740857,153,KontrollBauwerk,2,600,2
160,PE-FWI-4-5412,Wilhelm-Busch-Straße,29,"Wilhelm-Busch-Straße, 29, Dresden",51.0157887,13.7555609,154,Erdarmatur,4,840,3
161,PE-FWI-2-587,Burckhardtstraße,4,"Burckhardtstraße, 4, Dresden",51.0588202,13.7728586,155,KontrollBauwerk,2,900,2
162,PE-FWI-4-3584,Sternplatz,4,"Sternplatz, 4, Dresden",51.04666965,13.7262092654,14,Erdarmatur,4,780,3
163,PE-FWI-2-7089,Ischler Straße,14,"Ischler Straße, 14, Dresden",51.0183512,13.8388825,156,Zuluftschacht,2,1080,2
164,PE-FWI-4-9438,Walpurgisstraße,16,"Walpurgisstraße, 16, Dresden",51.0428052,13.7405154,157,Erdarmatur,4,780,3
165,PE-FWI-2-4130,Oberer Kreuzweg,8,"Oberer Kreuzweg, 8, Dresden",51.0612142,13.7496242,158,Zuluftschacht,2,1080,2
166,PE-FWI-2-8157,Bayrische Straße,3,"Bayrische Straße, 3, Dresden",51.0389655,13.733415,62,Zuluftschacht,2,1080,2
167,PE-FWI-4-1326,Goldammerweg,1,"Goldammerweg, 1, Dresden",51.0118318,13.7918814,159,Erdarmatur,4,900,3
168,PE-FWI-3-4010,Würzburger Straße,76,"Würzburger Straße, 76, Dresden",51.0275507,13.718869,160,Entlüftung,3,900,1
169,PE-FWI-4-7567,Röthenbacher Straße,22,"Röthenbacher Straße, 22, Dresden",51.0183629,13.7183284,161,Erdarmatur,4,720,3
170,PE-FWI-1-3842,Wilischstraße,22,"Wilischstraße, 22, Dresden",51.0289428,13.8155759,162,Bauwerk,1,1440,3
171,PE-FWI-2-163,Thomaestraße / Gerokstraße,-,"Thomaestraße & Gerokstraße, Dresden",51.0523500159,13.7701799598,163,Kontrollschacht,2,780,2
172,PE-FWI-4-1976,Theaterstraße,6,"Theaterstraße, 6, Dresden",51.0528916,13.7304158,164,Erdarmatur,4,600,3
173,PE-FWI-2-9456,Förstereistraße,45,"Förstereistraße, 45, Dresden",51.0712337,13.7525106,165,Kontrollschacht,2,900,2
174,PE-FWI-2-4514,Wilhelmine-Reichard-Ring,6,"Wilhelmine-Reichard-Ring, 6, Dresden",51.121646,13.7649254,166,Kontrollschacht,2,600,2
175,PE-FWI-1-4892,Elisenstraße,27,"Elisenstraße, 27, Dresden",51.0540667,13.7611883,167,Rohrbrücke,1,900,3
176,PE-FWI-4-5377,Rietschelstraße,2,"Rietschelstraße, 2, Dresden",51.0510524,13.7538171,168,Erdarmatur,4,600,3
177,PE-FWI-3-4079,Walpurgisstraße,14,"Walpurgisstraße, 14, Dresden",51.0428052,13.7405154,157,Entlüftung,3,720,1
178,PE-FWI-3-3366,Henzestraße,1,"Henzestraße, 1, Dresden",51.0417958,13.7702636,169,Entlüftung,3,900,1
179,PE-FWI-3-8324,Landhausstraße,3,"Landhausstraße, 3, Dresden",51.0510173,13.7415291,170,Belüftung,3,600,1
180,PE-FWI-2-286,Brünner Straße,3,"Brünner Straße, 3, Dresden",51.0281531,13.8281495,171,KontrollBauwerk,2,780,2
181,PE-FWI-4-4667,Glasewaldtstraße,17,"Glasewaldtstraße, 17, Dresden",51.04551805,13.80373115,172,Erdarmatur,4,840,3
182,PE-FWI-2-8533,Ebereschenstraße,28,"Ebereschenstraße, 28, Dresden",51.0427998,13.6622705,173,Kontrollschacht,2,600,2
183,PE-FWI-2-1200,Mathildenstraße,14,"Mathildenstraße, 14, Dresden",51.0486149,13.7527764,174,Zuluftschacht,2,1020,2
184,PE-FWI-4-7662,Wurzener Straße,6,"Wurzener Straße, 6, Dresden",51.0815461,13.721726715500001,175,Erdarmatur,4,900,3
185,PE-FWI-1-1484,Terrassenufer,9,"Terrassenufer, 9, Dresden",51.0537884,13.7391814,176,Rohrbrücke,1,1320,3
186,PE-FWI-4-9860,Spitzwegstraße,24,"Spitzwegstraße, 24, Dresden",51.0149514,13.7567695,141,Erdarmatur,4,720,3
187,PE-FWI-3-937,Hähnelstraße,1,"Hähnelstraße, 1, Dresden",51.0453805,13.7642499,177,Entlüftung,3,600,1
188,PE-FWI-2-6857,Rungestraße,31,"Rungestraße, 31, Dresden",51.0256723,13.7470929,178,KontrollBauwerk,2,900,2
189,PE-FWI-2-2871,Terrassenufer,1,"Terrassenufer, 1, Dresden",51.053661,13.7397979,179,Zuluftschacht,2,1140,2
190,PE-FWI-4-7650,Lohrmannstraße,21,"Lohrmannstraße, 21, Dresden",51.01727065,13.7890790952,180,Erdarmatur,4,600,3
191,PE-FWI-4-101,Sternplatz,3,"Sternplatz, 3, Dresden",51.04666965,13.7262092654,14,Erdarmatur,4,720,3
